sep=,
"Time","temperature","windSpeed","solarRad","humedad","rain","Power_gen","pressure_sensor","pressure"
1706808351000,12.0556,16.0934,7,70,0,0,446.9015180552313,29.206
1706812551000,10.3333,1.60934,0,77,0,0,445.2250156025159,29.218
1706816753000,9.5,1.60934,0,76,0,0,448.8024904326203,29.209
1706820954000,9.33333,0,0,77,0,0,454.2714304431257,29.202
1706825155000,8.77778,1.60934,0,80,0,0,451.22125478070086,29.204
1706829356000,7.88889,3.21869,0,78,0,0,450.5595538703389,29.197
1706833557000,7.33333,1.60934,0,76,0,0,450.5478116480942,29.183
1706837758000,7.66667,0,0,66,0,0,419.55331535118233,29.172
1706841959000,7.11111,1.60934,0,63,0,0,419.56665878555145,29.165
1706846160000,7.11111,3.21869,0,61,0,0,418.55369196542375,29.148
1706850361000,7.5,0,0,59,0,0,419.8963416902251,29.137
1706854562000,6.94444,0,0,71,0,0,418.28372092955163,29.149
1706896987000,12.2778,11.2654,0,69,0,0,179.893975560007,29.191
1706901189000,10.8333,0,0,76,0,0,179.70106285761625,29.211
1706905390000,10.6667,4.82803,0,81,0,0,179.3473284124923,29.217
1706909591000,10,3.21869,0,83,0,0,179.32542850083408,29.23
1706913793000,8.94444,1.60934,0,82,0,0,179.11782134134432,29.238
1706917994000,8.16667,1.60934,0,83,0,0,178.9407873258528,29.23
1706922195000,8.27778,8.04672,0,86,0,0,178.89647044445454,29.234
1706926097000,7.83333,8.04672,0,86,0,0,178.91962130308482,29.229
1706930298000,6.94444,1.60934,0,84,0,0,178.67071621422286,29.231
1706934499000,5.5,1.60934,0,88,0,0,178.26320772859162,29.225
1706938701000,5.38889,0,0,85,0,0,178.17058761477733,29.217
1706942902000,4.55556,0,0,88,0,0,177.8337993313021,29.235
1706982815000,12.3889,8.04672,0,70,0,0,177.2906715146022,29.196
1706987016000,11.2222,1.60934,0,74,0,0,177.2229202265933,29.217
1706990917000,9.83333,8.04672,0,78,0,0,177.17333268861924,29.217
1706995119000,9.27778,0,0,78,0,0,176.7862730161586,29.222
1706999320000,8.5,0,0,79,0,0,176.54627466973793,29.216
1707003521000,8.33333,0,0,82,0,0,176.43545744730284,29.216
1707007722000,7.22222,0,0,82,0,0,176.18526805288286,29.205
1707011924000,6.88889,8.04672,0,84,0,0,176.3077607803909,29.204
1707015825000,7.22222,6.43738,0,83,0,0,176.18366684075858,29.189
