datetime;temperature;windSpeed;solarRad;humedad;rain;Power_gen;pressure_sensor;pressure
06/02/2024 4:54;10.5556;0;0;57;0;0;170.6027421;28.991
05/03/2024 12:24;17.6111;1.60934;664;38;0;11.512;385.0498628;28.959
05/03/2024 13:24;18.5;4.82803;682;37;0;0;385.366369;28.932
08/03/2024 10:20;12.7778;24.1402;473;46;0;8.651;395.4842616;28.58
08/03/2024 11:20;14.4444;24.1402;594;41;0;11.375;394.3929689;28.585
08/03/2024 12:24;15.1111;17.7028;701;39;0;13.378;394.3299545;28.572
08/03/2024 13:23;16;17.7028;726;34;0;13.874;457.2764719;28.557
08/03/2024 14:27;15.7778;14.4841;332;34;0;5.101;392.9948772;28.517
08/03/2024 15:26;16.3889;28.9682;633;30;0;9.273;393.5421248;28.522
08/03/2024 16:20;16.5556;16.0934;445;32;0;9.279;394.8565198;28.526
08/03/2024 17:21;15.8889;12.8748;72;31;0;1.112;394.5715707;28.527
08/03/2024 18:21;15.5;14.4841;84;35;0;1.934;440.2163907;28.53
08/03/2024 18:56;14.4444;14.4841;19;40;0;0;433.0692803;28.529
10/03/2024 17:54;15.8889;20.9215;151;42;0;1.176;399.5110099;28.461
10/03/2024 18:25;15.7222;22.5308;74;42;0;2.13;399.3214998;28.471
10/03/2024 19:35;14.2778;16.0934;0;45;0;0;396.9830296;28.505
11/03/2024 8:40;11.1111;14.4841;204;57;0;1.888;399.0020246;28.774
11/03/2024 9:24;13.2778;11.2654;345;50;0;5.736;399.3664004;28.795
11/03/2024 10:22;14.2778;14.4841;517;45;0;9.763;399.1917015;28.817
11/03/2024 11:22;16.1111;17.7028;696;39;0;12.623;400.0953856;28.831
11/03/2024 12:22;16.5;12.8748;707;37;0;14.183;401.6026933;28.826
11/03/2024 13:22;18;12.8748;765;33;0;14.254;400.7863086;28.812
11/03/2024 14:22;18.8333;14.4841;677;33;0;14.056;401.0489408;28.792
11/03/2024 15:23;18.6667;12.8748;582;33;0;12.072;400.7475126;28.787
11/03/2024 16:24;18.4444;16.0934;439;34;0;9.399;400.5990002;28.792
11/03/2024 17:23;18.5;17.7028;267;30;0;5.908;401.3639459;28.804
11/03/2024 18:20;17.4444;19.3121;72;34;0;2.011;398.6318777;28.821
11/03/2024 19:00;16.5;16.0934;11;36;0;0;399.2388372;28.837
12/03/2024 8:38;10.6111;6.43738;204;57;0;1.98;398.14164;28.94
12/03/2024 9:22;12.8333;6.43738;343;56;0;5.808;397.6844272;28.939
12/03/2024 10:47;15.0556;12.8748;561;49;0;9.225;398.3811546;28.953
12/03/2024 11:53;17.1111;20.9215;617;42;0;12.064;399.3267704;28.945
12/03/2024 12:58;18.7222;14.4841;722;32;0;13.432;400.9284829;28.93
12/03/2024 14:03;19.1111;14.4841;696;32;0;13.972;401.6089981;28.902
12/03/2024 14:23;18.8889;17.7028;671;35;0;13.627;401.1409438;28.9
12/03/2024 15:38;17.8333;19.3121;547;36;0;12.196;401.2333804;28.883
12/03/2024 16:28;17.8333;16.0934;424;36;0;9.53;399.6048143;28.872
12/03/2024 17:29;16.6667;17.7028;251;40;0;5.925;400.9152729;28.874
12/03/2024 18:23;15.8889;9.65606;65;40;0;2.078;436.8167505;28.873
12/03/2024 18:58;15.5;4.82803;9;39;0;0;438.5942294;28.877
13/03/2024 8:58;8.11111;1.60934;179;64;0;2.064;402.6116905;28.842
13/03/2024 10:08;13.1111;6.43738;457;55;0;3.97;402.0441275;28.851
13/03/2024 10:38;14.1667;8.04672;564;51;0;8.82;401.8961488;28.849
13/03/2024 11:23;17;6.43738;633;40;0;12.313;402.2029477;28.845
13/03/2024 12:23;18;11.2654;715;36;0;13.661;403.2222193;28.829
13/03/2024 13:23;19.1667;16.0934;731;36;0;14.337;405.0841955;28.803
13/03/2024 14:22;19.2778;17.7028;682;37;0;13.533;405.2628641;28.784
13/03/2024 15:20;18.5;14.4841;448;41;0;9.257;403.9363266;28.769
13/03/2024 16:21;18.0556;16.0934;408;44;0;9.637;403.1731155;28.76
13/03/2024 17:21;16.6667;9.65606;130;46;0;2.056;404.2416577;28.755
13/03/2024 18:21;15.5556;9.65606;44;48;0;1.152;436.9875131;28.761
13/03/2024 19:11;14.3889;9.65606;5;49;0;0;435.1742738;28.768
