SO2,CO,NO,NO2,PM10,NOX,O3,"PM2,5",SH2,vmax,vv,dv,dmax,pres,hr,ts,pres_nmar,tamin,ta,tamax,tpr,inso,tss5cm,timestamp
5.0375,0.355,26.1675,29.075,15.225,69.89750000000001,1.8875,8.615,4.40875,3.2,2.3,161.0,160.0,998.7,92.0,5.8,1030.3,4.1,4.2,4.5,3.0,0.0,8.5,2022-01-01 00:00:00
4.92,0.3225,22.7825,28.195,15.2175,63.7375,1.715,9.155,4.05875,3.4,1.8,162.0,158.0,998.6,92.0,5.9,1030.1,4.0,4.2,4.2,3.0,0.0,8.3,2022-01-01 01:00:00
4.78,0.275,12.1275,25.7175,8.209999999999999,44.6375,1.9275,9.12,3.21625,4.9,1.6,171.0,166.0,998.5,92.0,5.8,1030.1,4.0,4.1,4.4,2.9,0.0,8.2,2022-01-01 02:00:00
4.845,0.2425,7.15,24.3725,3.7225,35.5275,2.175,8.035,3.25375,3.6,1.8,164.0,201.0,998.6,92.0,5.0,1030.3,3.1,3.1,4.1,1.9,0.0,8.0,2022-01-01 03:00:00
4.605,0.23,6.54,19.985,1.3625,30.185,2.4325,7.5275,2.9775,2.9,0.6,221.0,176.0,998.8,92.0,4.6,1030.5,3.0,3.1,3.2,1.9,0.0,7.9,2022-01-01 04:00:00
4.785,0.2125,11.73,17.93,1.0525,36.2225,3.01,7.7575,3.13125,1.5,0.7,318.0,274.0,998.7,92.0,5.1,1030.3,3.0,3.5,3.5,2.3,0.0,7.7,2022-01-01 05:00:00
4.74,0.185,6.82,15.62,1.3625,26.2575,4.7575,7.17,2.94,2.9,1.0,328.0,303.0,998.9,92.0,5.0,1030.5,3.3,3.5,3.5,2.3,0.0,7.7,2022-01-01 06:00:00
4.6075,0.2,7.03,18.5975,1.3075,29.5625,4.3075,6.4975000000000005,3.85625,3.5,1.9,301.0,300.0,999.4,92.0,4.6,1031.1,3.3,3.4,3.5,2.3,0.0,7.6,2022-01-01 07:00:00
4.66,0.2175,10.1275,17.5425,1.5525,33.34,5.4350000000000005,6.2675,3.29375,3.4,1.7,286.0,297.0,999.6,92.0,4.3,1031.3,2.9,2.9,3.5,1.7,0.0,7.5,2022-01-01 08:00:00
4.7625,0.225,11.0075,15.4975,2.2225,32.67,8.09,5.835,3.1950000000000003,5.1,2.3,313.0,299.0,1000.1,92.0,4.7,1031.8,2.6,3.2,3.2,2.1,0.0,7.4,2022-01-01 09:00:00
4.8925,0.24,12.5275,17.4725,5.4275,37.02,9.32,5.825,3.135,4.7,1.8,323.0,298.0,1000.4,92.0,5.6,1032.0,3.2,4.4,4.4,3.2,0.0,7.5,2022-01-01 10:00:00
4.9075,0.2249999999999999,12.3325,17.2975,13.7225,36.5375,11.145,6.83,3.25875,14.6,1.8,326.0,217.0,1000.1,92.0,6.3,1017.0098931388349,4.4,4.7,4.9,6.952417097786448,0.0,7.7,2022-01-01 11:00:00
4.975,0.2324999999999999,15.3125,18.1025,22.0075,41.9875,11.2975,8.105,3.6525,4.4,1.1,314.0,18.0,999.2,92.0,6.7,1030.7,4.6,5.0,5.0,3.8,0.0,8.0,2022-01-01 12:00:00
5.145,0.2375,12.9675,17.3625,22.805,37.59,11.595,8.48,4.2075,4.1,1.2,343.0,72.0,998.5,92.0,6.9,1030.0,4.7,5.0,5.0,3.8,0.0,8.3,2022-01-01 13:00:00
5.15,0.2324999999999999,11.675,16.419999999999998,22.25,34.6275,11.89,7.5125,3.7625,4.1,0.6,48.0,87.0,997.6,92.0,7.5,1028.9,5.0,5.8,5.8,4.6,0.0,8.5,2022-01-01 14:00:00
5.27,0.2425,13.7975,18.52,21.7925,40.04,10.565,9.16,3.4725,4.4,0.7,335.0,333.0,997.4,91.0,7.5,1017.0098931388349,5.7,5.7,5.9,6.952417097786448,0.0,8.7,2022-01-01 15:00:00
5.0675,0.23,13.09,22.3975,20.2175,42.82,8.6725,9.4475,3.36125,1.3,0.5,167.0,252.0,997.4,91.0,7.3,1017.0098931388349,5.6,5.7,5.7,6.952417097786448,0.0,8.7,2022-01-01 16:00:00
5.067500000000001,0.2525,16.814999999999998,25.8275,14.365,52.057500000000005,6.39,11.2825,3.4375,1.6,0.6,99.0,194.0,997.6,91.0,7.1,1029.0,5.5,5.5,5.7,4.1,0.0,8.7,2022-01-01 17:00:00
5.0175,0.295,24.3175,29.8625,12.2225,67.79249999999999,3.3175,11.9125,3.65,2.2,0.6,204.0,227.0,997.8,91.0,6.7,1029.2,5.3,5.4,5.6,4.1,0.0,8.5,2022-01-01 18:00:00
5.1275,0.345,38.5775,33.1025,15.3975,93.2775,1.9475,14.145,4.255,1.6,0.8,318.0,166.0,998.0,91.0,6.6,1029.4,5.3,5.3,5.4,3.9,0.0,8.4,2022-01-01 19:00:00
5.25,0.355,39.2225,33.1375,19.3925,94.325,1.655,16.015,4.0325,2.4,0.9,110.0,139.0,997.9,92.0,6.7,1029.3,5.3,5.5,5.5,4.3,0.0,8.3,2022-01-01 20:00:00
5.175000000000001,0.3725,35.1675,31.8525,22.3975,86.7175,1.6749999999999998,15.44,4.117500000000001,2.7,0.4,154.0,141.0,997.9,92.0,6.6,1029.3,5.5,5.5,5.5,4.3,0.0,8.2,2022-01-01 21:00:00
5.2975,0.385,35.4775,31.665,23.4775,87.00999999999999,1.8425,13.2975,3.98875,2.4,1.4,188.0,171.0,997.9,92.0,6.3,1029.3,5.2,5.2,5.6,3.9,0.0,8.1,2022-01-01 22:00:00
5.035,0.3375,24.595,30.9075,27.67,69.275,1.635,13.2875,3.49375,3.1,0.9,163.0,175.0,998.4,92.0,6.3,1029.9,4.8,4.8,5.2,3.6,0.0,8.0,2022-01-01 23:00:00
4.92,0.31,15.025,26.8,22.45,50.2325,1.645,11.5475,3.62625,3.4,1.8,164.0,180.0,998.2,92.0,5.7,1029.7,4.2,4.2,4.8,3.0,0.0,7.9,2022-01-02 00:00:00
4.9875,0.32,13.9325,25.16,15.6825,46.8975,1.705,10.895,3.65875,2.9,1.3,209.0,194.0,998.2,92.0,5.2,1029.8,3.7,3.7,4.3,2.5,0.0,7.8,2022-01-02 01:00:00
4.6525,0.2675,9.6075,23.065,13.7575,38.05,2.395,10.1225,4.65625,3.1,1.6,181.0,161.0,998.2,92.0,5.2,1029.8,3.5,3.5,3.7,2.3,0.0,7.7,2022-01-02 02:00:00
4.6975,0.2125,9.2925,18.785,12.24,33.2825,4.0125,8.8775,25.6225,3.5,1.3,139.0,185.0,998.1,92.0,5.4,1029.6,3.3,4.1,4.1,2.9,0.0,7.5,2022-01-02 03:00:00
4.73,0.1875,6.105,19.46,8.71,28.9825,2.6875,6.612500000000001,19.93625,3.6,1.6,172.0,162.0,998.2,92.0,4.9,1029.8,3.1,3.3,4.1,2.1,0.0,7.4,2022-01-02 04:00:00
4.7175,0.1875,5.4125,17.29,6.33,25.74,2.6925,4.995,9.21625,3.6,1.9,145.0,194.0,997.8,92.0,4.7,1029.5,2.5,2.8,3.3,1.7,0.0,7.3,2022-01-02 05:00:00
4.69,0.175,7.25,18.009999999999998,2.33,29.325000000000003,2.1625,4.7675,6.81625,3.9,1.7,155.0,152.0,998.3,92.0,4.2,1030.1,2.2,2.2,2.8,1.1,0.0,7.2,2022-01-02 06:00:00
4.665,0.1825,15.1325,18.885,1.1425,42.4925,1.6975,4.8275,7.1675,4.8,1.4,163.0,157.0,998.6,92.0,4.2,1030.4,2.0,2.0,2.2,0.9,0.0,7.0,2022-01-02 07:00:00
4.7125,0.2275,22.805,17.1025,1.0125,52.6775,2.615,5.1850000000000005,4.1375,4.5,1.0,199.0,152.0,999.1,92.0,4.1,1030.9,1.8,2.0,2.0,0.9,0.0,6.9,2022-01-02 08:00:00
4.779999999999999,0.2225,28.06,17.865000000000002,2.9975,61.635,3.905,6.96,5.635,2.4,0.8,285.0,282.0,999.6,92.0,4.3,1031.4,2.0,2.5,2.5,1.3,0.0,6.9,2022-01-02 09:00:00
4.952500000000001,0.275,36.18,20.14,7.297499999999999,76.5775,4.1025,8.629999999999999,5.15875,3.0,1.5,337.0,338.0,1000.1,92.0,5.0,1031.8,2.5,3.2,3.2,2.1,0.0,7.1,2022-01-02 10:00:00
5.047499999999999,0.3,41.9575,21.4875,14.7,86.9425,5.0825,9.19,5.49125,2.9,0.9,143.0,358.0,999.4,92.0,6.5,1031.0,3.1,4.3,4.3,3.0,0.0,7.3,2022-01-02 11:00:00
5.18,0.295,25.725,17.9175,23.225,58.045,7.4375,11.995,3.8075,3.5,1.4,315.0,317.0,999.2,92.0,6.7,1030.7,4.3,4.8,4.8,3.6,0.0,7.7,2022-01-02 12:00:00
5.4675,0.2725,19.3425,17.2875,25.7125,47.4575,9.385,13.7225,3.82875,4.1,2.2,308.0,319.0,998.4,91.0,7.8,1029.7,4.8,5.9,5.9,4.5,9.0,8.1,2022-01-02 13:00:00
5.82,0.2525,19.1975,16.9725,24.705,46.925,10.935,14.1725,3.8675,5.5,3.2,324.0,303.0,997.8,84.0,8.6,1029.0,5.9,7.2,7.2,4.6,56.0,8.6,2022-01-02 14:00:00
5.85,0.2925,17.1925,18.835,22.4975,45.655,9.95,11.2075,4.315,5.3,3.1,328.0,325.0,997.6,81.0,8.5,1028.7,7.2,7.8,9.0,4.8,49.0,9.0,2022-01-02 15:00:00
5.4525,0.2825,27.64,25.8675,16.815,68.985,5.145,10.33,4.81375,5.9,1.9,298.0,334.0,997.6,81.0,7.7,1028.7,7.6,8.0,8.2,5.0,36.0,9.0,2022-01-02 16:00:00
6.165,0.3525,42.6,33.425,19.55,99.875,2.3625,9.895,4.4875,3.2,0.6,222.0,349.0,997.2,82.0,7.4,1028.3,7.8,7.8,8.0,5.0,0.0,8.6,2022-01-02 17:00:00
5.7225,0.37,36.620000000000005,27.7875,21.2375,84.91,2.1775,9.3575,4.22375,2.4,1.3,326.0,343.0,997.9,84.0,7.0,1029.1,7.3,7.3,7.8,4.8,0.0,8.4,2022-01-02 18:00:00
5.6,0.3575,47.455,31.3025,12.165,105.33,1.94,9.925,4.83,2.2,1.1,310.0,297.0,998.0,86.0,6.3,1029.2,6.7,6.7,7.3,4.5,0.0,8.1,2022-01-02 19:00:00
5.672499999999999,0.41,57.41,31.8375,17.5825,121.3975,2.4125,12.3575,4.56875,2.8,0.4,130.0,258.0,998.0,85.0,6.0,1029.2,6.6,6.8,6.9,4.5,0.0,7.8,2022-01-02 20:00:00
5.715,0.4625,56.9125,30.135,25.34,118.9175,2.2675,12.54,4.2925,1.7,0.5,310.0,24.0,998.3,85.0,5.3,1029.6,6.2,6.2,7.1,3.9,0.0,7.5,2022-01-02 21:00:00
5.735,0.445,64.4825,28.755,25.345,129.3475,1.9575,15.0525,4.385,1.8,0.8,255.0,270.0,998.0,85.0,5.5,1029.2,5.6,6.9,6.9,4.5,0.0,7.3,2022-01-02 22:00:00
5.495,0.42,39.0075,24.7675,25.635,85.6175,2.035,18.785,14.27875,2.7,0.8,306.0,30.0,998.1,85.0,5.2,1029.4,5.8,5.8,7.0,3.4,0.0,7.1,2022-01-02 23:00:00
5.5575,0.415,53.72,23.130000000000003,24.9475,106.935,1.74,21.435,12.425,1.3,0.5,129.0,293.0,997.5,87.0,4.7,1028.9,5.1,5.1,5.8,3.0,0.0,6.9,2022-01-03 00:00:00
5.65,0.415,60.945,23.86,25.655,118.93,1.95,20.6075,7.48875,3.6,0.3,201.0,147.0,997.3,84.0,4.5,1028.7,5.1,5.2,5.7,2.7,0.0,6.7,2022-01-03 01:00:00
5.6,0.38,56.875,20.7225,25.29,109.45,1.6775,18.4,14.52875,1.7,1.0,154.0,163.0,997.2,87.0,4.2,1028.7,4.3,4.4,5.2,2.5,0.0,6.5,2022-01-03 02:00:00
5.2725,0.2975,32.7725,21.3925,18.6975,72.5175,1.7025,13.885,19.93,2.6,1.2,141.0,136.0,996.7,89.0,4.2,1028.2,4.2,4.5,4.5,2.9,0.0,6.3,2022-01-03 03:00:00
5.2425,0.3325,33.3425,24.595,13.3025,76.6125,1.58,11.8475,18.3725,3.0,0.6,73.0,73.0,996.8,89.0,3.9,1028.4,3.1,3.1,4.5,1.5,0.0,6.2,2022-01-03 04:00:00
6.23,0.425,87.62,28.005,10.6875,164.695,1.6949999999999998,11.865,7.66125,1.9,0.3,170.0,162.0,996.6,90.0,4.1,1028.2,3.0,3.0,3.1,1.5,0.0,6.2,2022-01-03 05:00:00
6.0825,0.4475,98.0325,28.7025,14.4025,181.635,1.53,12.4925,7.33875,2.8,1.9,154.0,154.0,996.5,90.0,3.7,1028.2,2.7,2.7,3.1,1.3,0.0,6.1,2022-01-03 06:00:00
6.3,0.4575,133.91500000000002,31.685,17.4525,240.59,1.8725,12.68,8.2375,4.6,0.5,206.0,113.0,996.3,91.0,3.4,1017.0098931388349,2.7,2.9,3.0,6.952417097786448,0.0,6.0,2022-01-03 07:00:00
