id;date;pV1Curr;pV4Curr;pac;pV1Power;pV4Power;deviceTemp;rGridVolt;totalPVEnergy
1;02/04/2025 10:05;449;473.88;0.39;229.2;7.01;0;0;67.6
2;02/04/2025 10:10;458;484.69;0.43;234.5;7.17;0;0;67.6
3;02/04/2025 10:15;488;517.19;0.47;237.1;7.86;0;0;65.8
4;02/04/2025 10:20;491;520.99;0.51;237.5;8.04;0;0;64.8
5;02/04/2025 10:25;503;531.36;0.55;234.1;8.1;0;0;65.6
6;02/04/2025 10:30;525;557.33;0.59;235.4;8.47;0;0;65.8
7;02/04/2025 10:35;353;373.74;0.63;232.8;5.68;0;0;65.8
8;02/04/2025 10:40;153;163.84;0.65;231.8;2.46;0;0;66.6
9;02/04/2025 10:45;179;191.43;0.66;230.9;2.87;0;0;66.7
10;02/04/2025 10:50;132;140.43;0.68;229.6;2.05;0;0;68.5
11;02/04/2025 10:55;658;696.65;0.71;230.7;10.17;0;0;68.5
12;02/04/2025 11:00;618;653.35;0.76;229;9.81;0;0;66.6
13;02/04/2025 11:05;633;670.91;0.82;227.5;9.91;0;0;67.7
14;02/04/2025 11:10;641;678.96;0.87;228.8;10.35;0;0;65.6
15;02/04/2025 11:15;638;676.51;0.92;228.6;10.44;0;0;64.8
16;02/04/2025 11:20;664;702.63;0.98;230.3;10.55;0;0;66.6
17;02/04/2025 11:25;679;713.22;1.03;229.2;10.79;0;0;66.1
18;02/04/2025 11:30;179;190.9;1.09;228.6;2.91;0;0;65.6
19;02/04/2025 11:35;745;787.54;1.12;229.4;11.65;0;0;67.6
20;02/04/2025 11:40;637;671.74;1.18;228.4;10.24;0;0;65.6
21;02/04/2025 11:45;744;785.23;1.24;230.5;11.97;0;0;65.6
22;02/04/2025 11:50;320;337.66;1.28;227.9;5.07;0;0;66.6
23;02/04/2025 11:55;757;802.01;1.34;231.8;12.67;0;0;63.3
24;02/04/2025 12:00;777;822.63;1.38;232.8;11.57;0;0;71.1
25;02/04/2025 12:05;718;759.62;1.44;233;11.44;0;0;66.4
26;02/04/2025 12:10;771;815.33;1.51;231.6;11.92;0;0;68.4
27;02/04/2025 12:15;771;815.95;1.55;231.8;11.27;0;0;72.4
28;02/04/2025 12:20;769;812.65;1.61;231.6;11.24;0;0;72.3
29;02/04/2025 12:25;771;815.88;1.68;231.6;11.54;0;0;70.7
30;02/04/2025 12:30;777;822.67;1.74;232.8;11.94;0;0;68.9
31;02/04/2025 12:35;775;819.45;1.81;232.6;11.74;0;0;69.8
32;02/04/2025 12:40;765;807.62;1.87;232;11.79;0;0;68.5
33;02/04/2025 12:45;773;819.94;1.93;231.3;11.68;0;0;70.2
34;02/04/2025 12:50;774;818.4;2;229.6;12;0;0;68.2
