datetime;date;P_ac_W;P_ac_filtered_W;Ipv1_A;Ipv2_A;IPV1;I_ac_A;unused_1;Vpv1_V;unused_2;unused_3;Vdc_V;Ipv1_dup_A;energy_kWh
22/01/2025 9:26;22/01/2025;0;0;0;0;0;0;0;69.2;0;0;230.1;0;0
22/01/2025 9:26;22/01/2025;0;0;0;0;0;0;0;69.4;0;0;231.1;0;0
22/01/2025 9:27;22/01/2025;0;0;0;0;0;0;0;69.7;0;0;231.1;0;0
22/01/2025 9:27;22/01/2025;0;0;0;0;0;0;0;69.8;0;0;231.1;0;0
22/01/2025 9:28;22/01/2025;0;0;0;0;0;0;0;70;0;0;230.9;0;0
22/01/2025 9:30;22/01/2025;0;0;0;0;0;0;0;70.7;0;0;232.2;0;0
22/01/2025 9:35;22/01/2025;0;0;0;0;0;0;0;72.3;0;0;232.6;0;0
22/01/2025 9:40;22/01/2025;39;40.39;0;0;0.66;0;0;61.2;0;0;232;0;0
22/01/2025 9:45;22/01/2025;39;40.39;0;0;0.66;0;0;61.2;0;0;231.6;0;0
22/01/2025 9:50;22/01/2025;39;40.52;0;0;0.66;0;0;61.4;0;0;232;0;0
22/01/2025 9:55;22/01/2025;39;40.39;0;0;0.66;0;0;61.2;0;0;232.8;0;0
22/01/2025 10:00;22/01/2025;39;40.52;0;0;0.66;0;0;61.4;0;0;233;0;0
22/01/2025 10:05;22/01/2025;39;40.39;0;0;0.66;0;0;61.2;0;0;231.1;0;0
22/01/2025 10:10;22/01/2025;39;40.39;0;0;0.66;0;0;61.2;0;0;231.6;0;0
22/01/2025 10:15;22/01/2025;47;49.73;0;0;0.81;0;0;61.4;0;0;231.6;0;0
22/01/2025 10:20;22/01/2025;98;104.57;0;0;1.54;0;0;67.9;0;0;230.9;0;0
22/01/2025 10:25;22/01/2025;107;114.54;0;0;1.66;0;0;69;0;0;232;0;0
22/01/2025 10:30;22/01/2025;572;603.56;0;0;8.76;0;0;68.9;0;0;235;0;0
22/01/2025 10:35;22/01/2025;541;572.6;0;0;8.18;0;0;70;0;0;234.7;0;0
22/01/2025 10:40;22/01/2025;404;427.04;0;0;6.28;0;0;68;0;0;234.1;0;0
22/01/2025 10:45;22/01/2025;349;371.37;0;0;5.39;0;0;68.9;0;0;232.8;0;0
22/01/2025 10:50;22/01/2025;254;272.28;0;0;4.01;0;0;67.9;0;0;233;0;0
22/01/2025 10:55;22/01/2025;242;259.44;0;0;3.76;0;0;69;0;0;234.1;0;0
22/01/2025 11:00;22/01/2025;304;322.23;0;0;4.67;0;0;69;0;0;234.7;0;0
22/01/2025 11:05;22/01/2025;460;486.16;0;0;7.16;0;0;67.9;0;0;233.7;0;0
22/01/2025 11:10;22/01/2025;344;363.79;0;0;5.28;0;0;68.9;0;0;232.8;0;0
22/01/2025 11:15;22/01/2025;478;507.28;0;0;7.56;0;0;67.1;0;0;233.7;0;0
22/01/2025 11:20;22/01/2025;471;498.44;0;0;7.33;0;0;68;0;0;235.4;0;0
22/01/2025 11:25;22/01/2025;555;592.85;0;0;8.77;0;0;67.6;0;0;233.3;0;0
22/01/2025 11:30;22/01/2025;583;616.82;0;0;9.36;0;0;65.9;0;0;235.4;0;0
22/01/2025 11:35;22/01/2025;611;645.45;0;0;9.93;0;0;65;0;0;235;0;0
22/01/2025 11:40;22/01/2025;600;634.56;0;0;9.6;0;0;66.1;0;0;234.3;0;0
22/01/2025 11:45;22/01/2025;577;610.89;0;0;9.27;0;0;65.9;0;0;234.5;0;0
22/01/2025 11:50;22/01/2025;422;447.44;0;0;6.58;0;0;68;0;0;235;0;0
22/01/2025 11:55;22/01/2025;473;500.57;0;0;7.46;0;0;67.1;0;0;235.4;0;0
22/01/2025 12:00;22/01/2025;271;291.21;0;0;4.34;0;0;67.1;0;0;234.3;0;0
22/01/2025 12:05;22/01/2025;418;441.35;0;0;6.5;0;0;67.9;0;0;236;0;0
22/01/2025 12:10;22/01/2025;661;697.77;0;0;10.43;0;0;66.9;0;0;236.7;0;0
22/01/2025 12:15;22/01/2025;571;603.52;0;0;9.43;0;0;64;0;0;236;0;0
22/01/2025 12:20;22/01/2025;546;573.41;0;0;8.89;0;0;64.5;0;0;236;0;0
22/01/2025 12:25;22/01/2025;373;394.62;0;0;5.97;0;0;66.1;0;0;236.2;0;0
22/01/2025 12:30;22/01/2025;677;716.95;0;0;11.03;0;0;65;0;0;237.3;0;0
22/01/2025 12:35;22/01/2025;667;706.99;0;0;10.86;0;0;65.1;0;0;236;0;0
22/01/2025 12:40;22/01/2025;660;698.88;0;0;10.92;0;0;64;0;0;236.4;0;0
22/01/2025 12:45;22/01/2025;212;227.2;0;0;3.49;0;0;65.1;0;0;236;0;0
22/01/2025 12:50;22/01/2025;652;692.07;0;0;10.47;0;0;66.1;0;0;237.5;0;0
22/01/2025 12:55;22/01/2025;606;586.53;0;0;9.31;0;0;63;0;0;236.9;0;0
22/01/2025 13:00;22/01/2025;727;770.66;0;0;12.43;0;0;62;0;0;237.9;0;0
22/01/2025 13:05;22/01/2025;589;623.72;0;0;10.06;0;0;62;0;0;236;0;0
22/01/2025 13:10;22/01/2025;205;219.86;0;0;3.43;0;0;64.1;0;0;235;0;0
22/01/2025 13:15;22/01/2025;0;0;0;0;0;0;0;78.8;0;0;235.4;0;0
22/01/2025 13:20;22/01/2025;721;762.7;0;0;11.77;0;0;64.8;0;0;237.9;0;0
22/01/2025 13:25;22/01/2025;592;626.52;0;0;9.82;0;0;63.8;0;0;234.3;0;0
22/01/2025 13:30;22/01/2025;512;539.78;0;0;8.33;0;0;64.8;0;0;234.7;0;0
22/01/2025 13:35;22/01/2025;393;414.72;0;0;6.4;0;0;64.8;0;0;233.3;0;0
22/01/2025 13:40;22/01/2025;386;408.58;0;0;6.2;0;0;65.9;0;0;233.7;0;0
22/01/2025 13:45;22/01/2025;493;523.16;0;0;7.82;0;0;66.9;0;0;234.1;0;0
22/01/2025 13:50;22/01/2025;644;679.75;0;0;10.49;0;0;64.8;0;0;234.5;0;0
22/01/2025 13:55;22/01/2025;339;360.1;0;0;5.54;0;0;65;0;0;232.2;0;0
22/01/2025 14:00;22/01/2025;238;255.03;0;0;3.87;0;0;65.9;0;0;230.9;0;0
22/01/2025 14:05;22/01/2025;496;525.64;0;0;7.73;0;0;68;0;0;232.2;0;0
22/01/2025 14:10;22/01/2025;376;398.72;0;0;5.96;0;0;66.9;0;0;229.4;0;0
22/01/2025 14:15;22/01/2025;202;216.11;0;0;3.24;0;0;66.7;0;0;229.4;0;0
22/01/2025 14:20;22/01/2025;177;189.72;0;0;2.79;0;0;68;0;0;230.3;0;0
22/01/2025 14:25;22/01/2025;180;192.76;0;0;2.89;0;0;66.7;0;0;229;0;0
22/01/2025 14:30;22/01/2025;145;154.34;0;0;2.24;0;0;68.9;0;0;229.4;0;0
22/01/2025 14:35;22/01/2025;155;165.92;0;0;2.44;0;0;68;0;0;228.8;0;0
22/01/2025 14:40;22/01/2025;211;225.45;0;0;3.23;0;0;69.8;0;0;228.4;0;0
22/01/2025 14:45;22/01/2025;189;202.71;0;0;3.03;0;0;66.9;0;0;228.8;0;0
22/01/2025 14:50;22/01/2025;144;153.87;0;0;2.23;0;0;69;0;0;229;0;0
22/01/2025 14:55;22/01/2025;113;121.04;0;0;1.78;0;0;68;0;0;228.2;0;0
22/01/2025 15:00;22/01/2025;102;108.33;0;0;1.57;0;0;69;0;0;227.3;0;0
22/01/2025 15:05;22/01/2025;101;107.96;0;0;1.59;0;0;67.9;0;0;229.2;0;0
22/01/2025 15:10;22/01/2025;117;124.94;0;0;1.84;0;0;67.9;0;0;228.6;0;0
22/01/2025 15:15;22/01/2025;127;136;0;0;2;0;0;68;0;0;229.2;0;0
